# Schweingruber - Roc de Perches Blancas - PIMU - ITRDB FRAN023
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4615
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4615.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran023-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; fran023-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran023.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/fran023.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-07-31
#--------------------
# File_Last_Modified_Date
#   Date: 2002-07-31
#--------------------
# Title
#   Study_Name: Schweingruber - Roc de Perches Blancas - PIMU - ITRDB FRAN023
#--------------------
# Investigators
#   Investigators: Schweingruber, F.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2019-01-08. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Roc de Perches Blancas
#   Location: France
#   Northernmost_Latitude: 42.6
#   Southernmost_Latitude: 42.6
#   Easternmost_Longitude: 2.05
#   Westernmost_Longitude: 2.05
#   Elevation_m: 2100
#--------------------
# Data_Collection
#   Collection_Name: FRAN023
#   First_Year: 1769
#   Last_Year: 1977
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus mughus Scop. = Pinus mugo Turra
#   Common_Name: krummholz pine
#   Tree_Species_Code: PIMU
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 483021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 483021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 483022_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 483022; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 483031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 483031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 483032_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 483032; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 483041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 483041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 483042_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 483042; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 483051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 483051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 483052_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 483052; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 483061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 483061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 483062_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 483062; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 483071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 483071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 483072_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 483072; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 483081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 483081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 483082_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 483082; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 483091_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 483091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 483092_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 483092; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 483111_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 483111; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 483112_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 483112; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 483121_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 483121; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 483122_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 483122; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 483131_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 483131; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 483132_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 483132; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	483021_raw	483022_raw	483031_raw	483032_raw	483041_raw	483042_raw	483051_raw	483052_raw	483061_raw	483062_raw	483071_raw	483072_raw	483081_raw	483082_raw	483091_raw	483092_raw	483111_raw	483112_raw	483121_raw	483122_raw	483131_raw	483132_raw
1769	NA	NA	2.69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1770	NA	NA	1.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1771	NA	NA	1.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1772	NA	NA	1.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1773	NA	NA	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1774	NA	NA	1.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1775	NA	NA	2.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1776	NA	NA	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1777	NA	NA	1.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1778	NA	NA	2.47	NA	NA	NA	NA	NA	NA	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1779	NA	NA	2.91	NA	NA	NA	NA	NA	NA	1.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1780	NA	NA	2.17	NA	NA	NA	NA	NA	NA	2.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1781	NA	NA	2.39	NA	NA	NA	NA	NA	NA	1.96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1782	NA	NA	2.35	NA	NA	NA	NA	NA	NA	2.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1783	NA	NA	1.99	NA	NA	1.93	1.14	NA	NA	2.1	NA	NA	NA	NA	NA	NA	1.11	NA	NA	NA	3.58	NA
1784	NA	NA	2.31	NA	NA	2.15	1.44	NA	NA	1.99	NA	NA	NA	NA	NA	NA	1.33	NA	NA	NA	4.17	NA
1785	NA	NA	2.14	NA	NA	2.24	0.95	NA	NA	2.08	NA	NA	NA	NA	NA	NA	1.23	NA	NA	NA	3.69	3.46
1786	NA	NA	2.19	NA	NA	2.73	1.32	NA	NA	1.87	NA	NA	NA	NA	NA	NA	1.03	NA	NA	NA	2.89	3.08
1787	NA	NA	2.01	NA	NA	2.35	1.36	NA	3.37	1.47	NA	NA	NA	NA	NA	NA	0.92	NA	NA	NA	1.94	1.86
1788	NA	NA	2.29	NA	NA	2.43	1.53	NA	3.78	1.81	NA	NA	NA	NA	NA	NA	0.91	NA	NA	NA	3.31	2.74
1789	NA	NA	2.2	NA	NA	2.49	1.23	NA	1.44	1.82	NA	NA	NA	NA	NA	NA	0.99	NA	NA	NA	3.18	3.2
1790	NA	NA	2.1	NA	NA	2.5	0.97	NA	1.42	1.67	NA	NA	NA	NA	NA	NA	1.04	NA	NA	NA	2.28	2.12
1791	NA	NA	2.07	NA	NA	2.54	1.3	NA	1.26	1.32	NA	NA	NA	NA	NA	NA	1.64	NA	NA	NA	2.12	2.09
1792	NA	NA	1.7	NA	NA	2.01	1.43	NA	1.51	1.22	NA	NA	NA	NA	NA	NA	1.2	NA	NA	NA	1.35	1.64
1793	NA	NA	1.33	NA	1.62	1.42	2.16	NA	1.72	1.41	NA	NA	NA	NA	NA	NA	1.27	NA	NA	NA	1.38	1.4
1794	NA	NA	1.34	NA	1.3	1.7	2.8	NA	1.69	1.29	NA	NA	NA	NA	NA	NA	1.56	NA	NA	NA	1.44	1.72
1795	NA	NA	1.27	NA	1.16	1.89	2.73	NA	1.94	1.34	NA	NA	NA	NA	NA	NA	1.97	NA	NA	NA	2.22	2.65
1796	NA	NA	1.55	NA	1.49	1.98	2.18	NA	2.23	1.44	NA	NA	NA	NA	NA	NA	1.25	1.42	NA	NA	3.09	2.6
1797	NA	NA	1.51	NA	2.15	1.6	1.27	NA	1.65	1.11	NA	NA	NA	NA	NA	NA	1.33	1.39	NA	NA	2.36	2.34
1798	NA	NA	1.65	NA	2.35	1.97	1.29	NA	2.02	1.35	NA	NA	NA	NA	NA	NA	1.75	1.54	NA	NA	2.36	2.48
1799	NA	NA	1.89	NA	2.02	1.84	1.19	NA	2.08	1.22	NA	NA	NA	NA	NA	NA	1.37	1.33	NA	NA	2.19	3.2
1800	NA	NA	1.88	NA	1.91	1.5	1.68	NA	1.75	1.31	NA	NA	NA	NA	NA	NA	1.15	1.57	NA	NA	2.42	3.7
1801	NA	NA	1.61	NA	2.16	1.57	1.08	NA	1.67	1.55	NA	NA	NA	NA	NA	NA	1	1.96	NA	NA	2.43	3.51
1802	NA	NA	1.83	NA	1.95	1.52	1.45	NA	1.8	1.63	NA	NA	NA	NA	NA	NA	1.36	2.38	NA	NA	2.33	2.29
1803	NA	NA	1.6	NA	1.69	1.12	1.98	NA	1.5	1.29	NA	NA	NA	NA	NA	NA	1.57	1.85	NA	NA	1.84	1.8
1804	1.31	NA	1.63	2.33	1.5	1.31	1.99	NA	1.49	1.22	NA	NA	NA	NA	NA	NA	1.52	1.95	NA	NA	2.73	1.82
1805	2.3	NA	1.68	2.47	1.8	1.71	2.17	NA	1.55	1.62	NA	NA	NA	NA	NA	NA	1.6	2.55	NA	NA	3.03	2.09
1806	2.24	2.35	1.61	1.81	1.34	1.47	1.77	3.04	1.85	0.95	NA	NA	NA	NA	NA	NA	0.94	1.33	NA	NA	1.7	0.79
1807	3.82	3.54	1.85	2.53	2.05	1.48	2.29	4.34	2.64	1.61	NA	NA	NA	NA	NA	NA	1.36	1.41	NA	NA	2.57	1.53
1808	2.91	2.41	1.78	1.97	2.34	1.82	2.12	4.14	2.34	1.46	NA	NA	NA	NA	NA	NA	1.47	2.09	NA	NA	2.39	1.78
